Freq0,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Freq17,Freq18,Freq19,Freq20
6.999,6.999,6.999,7.021,7.021,7.021,6.958,6.958,6.958,6.991,6.991,6.991,7.023,7.023,7.023,6.961,6.961,6.961,7.000,7.000,7.000
7.415,7.415,7.415,7.333,7.333,7.333,7.329,7.329,7.329,7.325,7.325,7.325,7.342,7.342,7.342,7.267,7.267,7.267,7.252,7.252,7.252
6.953,6.953,6.953,6.968,6.968,6.968,6.930,6.930,6.930,6.948,6.948,6.948,6.901,6.901,6.901,6.980,6.980,6.980,6.986,6.986,6.986
6.913,6.913,6.913,6.903,6.903,6.903,6.922,6.922,6.922,6.935,6.935,6.935,6.930,6.930,6.930,6.953,6.953,6.953,6.936,6.936,6.936
7.285,7.285,7.285,7.252,7.252,7.252,7.269,7.269,7.269,7.303,7.303,7.303,7.239,7.239,7.239,7.255,7.255,7.255,7.158,7.158,7.158
6.920,6.920,6.920,6.867,6.867,6.867,6.866,6.866,6.866,6.888,6.888,6.888,6.963,6.963,6.963,6.937,6.937,6.937,6.903,6.903,6.903
6.929,6.929,6.929,6.971,6.971,6.971,6.897,6.897,6.897,6.865,6.865,6.865,6.899,6.899,6.899,6.949,6.949,6.949,6.858,6.858,6.858
7.407,7.407,7.407,7.357,7.357,7.357,7.345,7.345,7.345,7.311,7.311,7.311,7.364,7.364,7.364,7.359,7.359,7.359,7.247,7.247,7.247
6.856,6.856,6.856,6.845,6.845,6.845,6.866,6.866,6.866,6.841,6.841,6.841,6.866,6.866,6.866,6.896,6.896,6.896,6.857,6.857,6.857
6.997,6.997,6.997,7.069,7.069,7.069,6.974,6.974,6.974,7.055,7.055,7.055,7.028,7.028,7.028,7.074,7.074,7.074,6.999,6.999,6.999
7.477,7.477,7.477,7.526,7.526,7.526,7.479,7.479,7.479,7.456,7.456,7.456,7.474,7.474,7.474,7.526,7.526,7.526,7.409,7.409,7.409
7.026,7.026,7.026,7.026,7.026,7.026,6.969,6.969,6.969,7.077,7.077,7.077,6.984,6.984,6.984,7.054,7.054,7.054,6.996,6.996,6.996
7.066,7.066,7.066,7.114,7.114,7.114,7.096,7.096,7.096,7.053,7.053,7.053,7.073,7.073,7.073,7.094,7.094,7.094,7.031,7.031,7.031
7.491,7.491,7.491,7.372,7.372,7.372,7.479,7.479,7.479,7.434,7.434,7.434,7.410,7.410,7.410,7.404,7.404,7.404,7.327,7.327,7.327
7.015,7.015,7.015,7.070,7.070,7.070,7.050,7.050,7.050,7.043,7.043,7.043,7.079,7.079,7.079,7.033,7.033,7.033,7.039,7.039,7.039
7.059,7.059,7.059,7.038,7.038,7.038,7.011,7.011,7.011,6.966,6.966,6.966,6.969,6.969,6.969,7.003,7.003,7.003,6.943,6.943,6.943
7.340,7.340,7.340,7.273,7.273,7.273,7.346,7.346,7.346,7.243,7.243,7.243,7.302,7.302,7.302,7.286,7.286,7.286,7.235,7.235,7.235
6.957,6.957,6.957,6.946,6.946,6.946,6.971,6.971,6.971,6.920,6.920,6.920,6.906,6.906,6.906,6.959,6.959,6.959,6.923,6.923,6.923
7.018,7.018,7.018,6.953,6.953,6.953,6.944,6.944,6.944,6.968,6.968,6.968,6.984,6.984,6.984,6.944,6.944,6.944,6.839,6.839,6.839
7.340,7.340,7.340,7.273,7.273,7.273,7.293,7.293,7.293,7.311,7.311,7.311,7.295,7.295,7.295,7.230,7.230,7.230,7.140,7.140,7.140
6.931,6.931,6.931,6.915,6.915,6.915,6.942,6.942,6.942,6.917,6.917,6.917,6.927,6.927,6.927,6.908,6.908,6.908,6.844,6.844,6.844
6.964,6.964,6.964,6.953,6.953,6.953,6.921,6.921,6.921,6.952,6.952,6.952,6.976,6.976,6.976,6.940,6.940,6.940,6.929,6.929,6.929
7.327,7.327,7.327,7.369,7.369,7.369,7.319,7.319,7.319,7.343,7.343,7.343,7.354,7.354,7.354,7.306,7.306,7.306,7.264,7.264,7.264
6.889,6.889,6.889,6.875,6.875,6.875,6.856,6.856,6.856,6.834,6.834,6.834,6.886,6.886,6.886,6.837,6.837,6.837,6.840,6.840,6.840
7.016,7.016,7.016,7.094,7.094,7.094,6.968,6.968,6.968,7.038,7.038,7.038,7.072,7.072,7.072,7.048,7.048,7.048,7.015,7.015,7.015
7.491,7.491,7.491,7.412,7.412,7.412,7.381,7.381,7.381,7.424,7.424,7.424,7.390,7.390,7.390,7.374,7.374,7.374,7.268,7.268,7.268
7.023,7.023,7.023,7.057,7.057,7.057,6.971,6.971,6.971,6.969,6.969,6.969,7.021,7.021,7.021,6.982,6.982,6.982,6.964,6.964,6.964
6.989,6.989,6.989,7.006,7.006,7.006,7.027,7.027,7.027,7.016,7.016,7.016,7.036,7.036,7.036,7.009,7.009,7.009,6.989,6.989,6.989
7.413,7.413,7.413,7.326,7.326,7.326,7.371,7.371,7.371,7.345,7.345,7.345,7.313,7.313,7.313,7.319,7.319,7.319,7.213,7.213,7.213
6.934,6.934,6.934,6.924,6.924,6.924,6.919,6.919,6.919,6.895,6.895,6.895,6.901,6.901,6.901,6.921,6.921,6.921,6.879,6.879,6.879
6.996,6.996,6.996,7.029,7.029,7.029,6.976,6.976,6.976,6.960,6.960,6.960,7.013,7.013,7.013,6.979,6.979,6.979,6.985,6.985,6.985
7.421,7.421,7.421,7.399,7.399,7.399,7.444,7.444,7.444,7.335,7.335,7.335,7.372,7.372,7.372,7.370,7.370,7.370,7.365,7.365,7.365
6.972,6.972,6.972,6.942,6.942,6.942,6.996,6.996,6.996,6.941,6.941,6.941,6.992,6.992,6.992,6.901,6.901,6.901,6.952,6.952,6.952
7.028,7.028,7.028,7.085,7.085,7.085,7.052,7.052,7.052,7.041,7.041,7.041,7.027,7.027,7.027,7.047,7.047,7.047,7.030,7.030,7.030
7.398,7.398,7.398,7.420,7.420,7.420,7.406,7.406,7.406,7.411,7.411,7.411,7.362,7.362,7.362,7.382,7.382,7.382,7.276,7.276,7.276
6.995,6.995,6.995,7.031,7.031,7.031,7.060,7.060,7.060,7.011,7.011,7.011,7.059,7.059,7.059,7.048,7.048,7.048,7.097,7.097,7.097
6.914,6.914,6.914,6.975,6.975,6.975,6.914,6.914,6.914,6.963,6.963,6.963,6.929,6.929,6.929,7.001,7.001,7.001,6.911,6.911,6.911
7.466,7.466,7.466,7.414,7.414,7.414,7.355,7.355,7.355,7.368,7.368,7.368,7.327,7.327,7.327,7.371,7.371,7.371,7.224,7.224,7.224
7.012,7.012,7.012,7.020,7.020,7.020,6.961,6.961,6.961,6.977,6.977,6.977,6.974,6.974,6.974,7.040,7.040,7.040,6.974,6.974,6.974
7.005,7.005,7.005,6.958,6.958,6.958,6.899,6.899,6.899,6.980,6.980,6.980,6.966,6.966,6.966,7.008,7.008,7.008,6.865,6.865,6.865
7.362,7.362,7.362,7.309,7.309,7.309,7.311,7.311,7.311,7.336,7.336,7.336,7.273,7.273,7.273,7.329,7.329,7.329,7.296,7.296,7.296
6.991,6.991,6.991,6.935,6.935,6.935,6.878,6.878,6.878,6.968,6.968,6.968,6.984,6.984,6.984,7.059,7.059,7.059,6.930,6.930,6.930
6.952,6.952,6.952,6.943,6.943,6.943,6.922,6.922,6.922,6.957,6.957,6.957,6.996,6.996,6.996,6.965,6.965,6.965,6.991,6.991,6.991
7.304,7.304,7.304,7.258,7.258,7.258,7.292,7.292,7.292,7.349,7.349,7.349,7.269,7.269,7.269,7.201,7.201,7.201,7.200,7.200,7.200
6.930,6.930,6.930,6.916,6.916,6.916,6.862,6.862,6.862,6.910,6.910,6.910,6.962,6.962,6.962,6.929,6.929,6.929,6.896,6.896,6.896
6.887,6.887,6.887,6.932,6.932,6.932,6.937,6.937,6.937,6.875,6.875,6.875,6.900,6.900,6.900,6.811,6.811,6.811,6.774,6.774,6.774
7.283,7.283,7.283,7.340,7.340,7.340,7.380,7.380,7.380,7.256,7.256,7.256,7.323,7.323,7.323,7.316,7.316,7.316,7.189,7.189,7.189
6.843,6.843,6.843,6.836,6.836,6.836,6.863,6.863,6.863,6.752,6.752,6.752,6.801,6.801,6.801,6.866,6.866,6.866,6.736,6.736,6.736
