Freq0,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Freq17,Freq18,Freq19,Freq20
-0.276,-0.276,-0.276,-0.154,-0.154,-0.154,-0.141,-0.141,-0.141,-0.061,-0.061,-0.061,-0.208,-0.208,-0.208,-0.164,-0.164,-0.164,-0.084,-0.084,-0.084
-0.328,-0.328,-0.328,-0.212,-0.212,-0.212,-0.313,-0.313,-0.313,-0.199,-0.199,-0.199,-0.269,-0.269,-0.269,-0.074,-0.074,-0.074,-0.072,-0.072,-0.072
0.248,0.248,0.248,0.263,0.263,0.263,0.230,0.230,0.230,0.258,0.258,0.258,0.124,0.124,0.124,0.142,0.142,0.142,0.091,0.091,0.091
-0.075,-0.075,-0.075,-0.010,-0.010,-0.010,-0.033,-0.033,-0.033,-0.146,-0.146,-0.146,-0.072,-0.072,-0.072,0.011,0.011,0.011,-0.019,-0.019,-0.019
-0.234,-0.234,-0.234,-0.400,-0.400,-0.400,-0.294,-0.294,-0.294,-0.279,-0.279,-0.279,-0.304,-0.304,-0.304,-0.242,-0.242,-0.242,-0.086,-0.086,-0.086
0.113,0.113,0.113,0.001,0.001,0.001,-0.020,-0.020,-0.020,-0.066,-0.066,-0.066,-0.080,-0.080,-0.080,-0.038,-0.038,-0.038,-0.003,-0.003,-0.003
0.009,0.009,0.009,0.095,0.095,0.095,0.035,0.035,0.035,-0.017,-0.017,-0.017,-0.012,-0.012,-0.012,0.062,0.062,0.062,0.103,0.103,0.103
-0.438,-0.438,-0.438,-0.400,-0.400,-0.400,-0.341,-0.341,-0.341,-0.376,-0.376,-0.376,-0.343,-0.343,-0.343,-0.300,-0.300,-0.300,-0.144,-0.144,-0.144
0.072,0.072,0.072,0.054,0.054,0.054,0.086,0.086,0.086,0.005,0.005,0.005,0.018,0.018,0.018,0.069,0.069,0.069,0.077,0.077,0.077
-0.313,-0.313,-0.313,-0.353,-0.353,-0.353,-0.381,-0.381,-0.381,-0.330,-0.330,-0.330,-0.321,-0.321,-0.321,-0.303,-0.303,-0.303,-0.249,-0.249,-0.249
