Freq0,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Freq17,Freq18,Freq19,Freq20
-0.015,-0.015,-0.015,-0.062,-0.062,-0.062,-0.151,-0.151,-0.151,-0.143,-0.143,-0.143,0.063,0.063,0.063,0.079,0.079,0.079,-0.069,-0.069,-0.069
-0.010,-0.010,-0.010,0.002,0.002,0.002,0.005,0.005,0.005,-0.005,-0.005,-0.005,-0.018,-0.018,-0.018,-0.010,-0.010,-0.010,0.024,0.024,0.024
0.035,0.035,0.035,-0.093,-0.093,-0.093,0.039,0.039,0.039,0.056,0.056,0.056,-0.014,-0.014,-0.014,0.144,0.144,0.144,0.140,0.140,0.140
0.021,0.021,0.021,-0.020,-0.020,-0.020,-0.031,-0.031,-0.031,0.079,0.079,0.079,-0.076,-0.076,-0.076,-0.048,-0.048,-0.048,-0.008,-0.008,-0.008
-0.143,-0.143,-0.143,0.015,0.015,0.015,-0.081,-0.081,-0.081,-0.035,-0.035,-0.035,0.033,0.033,0.033,0.024,0.024,0.024,-0.031,-0.031,-0.031
-0.023,-0.023,-0.023,0.008,0.008,0.008,-0.012,-0.012,-0.012,-0.059,-0.059,-0.059,-0.081,-0.081,-0.081,-0.067,-0.067,-0.067,-0.130,-0.130,-0.130
0.027,0.027,0.027,-0.055,-0.055,-0.055,-0.092,-0.092,-0.092,-0.019,-0.019,-0.019,0.008,0.008,0.008,-0.003,-0.003,-0.003,0.032,0.032,0.032
0.037,0.037,0.037,-0.040,-0.040,-0.040,-0.088,-0.088,-0.088,0.022,0.022,0.022,-0.024,-0.024,-0.024,-0.057,-0.057,-0.057,0.057,0.057,0.057
0.051,0.051,0.051,0.083,0.083,0.083,0.020,0.020,0.020,0.064,0.064,0.064,-0.030,-0.030,-0.030,-0.043,-0.043,-0.043,-0.021,-0.021,-0.021
-0.086,-0.086,-0.086,0.022,0.022,0.022,0.107,0.107,0.107,-0.107,-0.107,-0.107,-0.060,-0.060,-0.060,-0.015,-0.015,-0.015,0.042,0.042,0.042
-0.026,-0.026,-0.026,-0.065,-0.065,-0.065,0.074,0.074,0.074,-0.001,-0.001,-0.001,0.007,0.007,0.007,-0.021,-0.021,-0.021,0.077,0.077,0.077
0.042,0.042,0.042,0.067,0.067,0.067,0.083,0.083,0.083,-0.022,-0.022,-0.022,0.024,0.024,0.024,0.123,0.123,0.123,0.146,0.146,0.146
0.005,0.005,0.005,-0.080,-0.080,-0.080,-0.003,-0.003,-0.003,0.130,0.130,0.130,-0.074,-0.074,-0.074,-0.053,-0.053,-0.053,-0.107,-0.107,-0.107
-0.026,-0.026,-0.026,-0.013,-0.013,-0.013,0.068,0.068,0.068,0.014,0.014,0.014,-0.005,-0.005,-0.005,-0.055,-0.055,-0.055,-0.046,-0.046,-0.046
0.054,0.054,0.054,0.107,0.107,0.107,-0.019,-0.019,-0.019,0.033,0.033,0.033,-0.008,-0.008,-0.008,0.095,0.095,0.095,-0.037,-0.037,-0.037
-0.091,-0.091,-0.091,-0.044,-0.044,-0.044,0.072,0.072,0.072,0.040,0.040,0.040,-0.054,-0.054,-0.054,-0.063,-0.063,-0.063,-0.138,-0.138,-0.138
-0.131,-0.131,-0.131,0.032,0.032,0.032,-0.061,-0.061,-0.061,-0.056,-0.056,-0.056,0.006,0.006,0.006,-0.168,-0.168,-0.168,-0.035,-0.035,-0.035
0.105,0.105,0.105,0.088,0.088,0.088,0.106,0.106,0.106,0.079,0.079,0.079,0.085,0.085,0.085,0.062,0.062,0.062,-0.053,-0.053,-0.053
0.161,0.161,0.161,0.010,0.010,0.010,-0.018,-0.018,-0.018,-0.073,-0.073,-0.073,-0.041,-0.041,-0.041,-0.061,-0.061,-0.061,0.075,0.075,0.075
-0.058,-0.058,-0.058,-0.006,-0.006,-0.006,-0.033,-0.033,-0.033,0.018,0.018,0.018,-0.155,-0.155,-0.155,0.004,0.004,0.004,0.020,0.020,0.020
0.064,0.064,0.064,0.092,0.092,0.092,0.010,0.010,0.010,-0.003,-0.003,-0.003,-0.067,-0.067,-0.067,0.006,0.006,0.006,0.059,0.059,0.059
-0.005,-0.005,-0.005,-0.053,-0.053,-0.053,-0.001,-0.001,-0.001,0.059,0.059,0.059,-0.008,-0.008,-0.008,0.150,0.150,0.150,0.034,0.034,0.034
0.075,0.075,0.075,-0.013,-0.013,-0.013,0.076,0.076,0.076,0.046,0.046,0.046,-0.059,-0.059,-0.059,0.048,0.048,0.048,-0.008,-0.008,-0.008
0.043,0.043,0.043,-0.057,-0.057,-0.057,-0.017,-0.017,-0.017,-0.049,-0.049,-0.049,0.132,0.132,0.132,0.028,0.028,0.028,0.045,0.045,0.045
0.067,0.067,0.067,0.175,0.175,0.175,-0.007,-0.007,-0.007,-0.036,-0.036,-0.036,-0.012,-0.012,-0.012,-0.047,-0.047,-0.047,0.056,0.056,0.056
0.010,0.010,0.010,0.048,0.048,0.048,-0.104,-0.104,-0.104,-0.060,-0.060,-0.060,0.054,0.054,0.054,0.061,0.061,0.061,-0.054,-0.054,-0.054
0.131,0.131,0.131,0.003,0.003,0.003,-0.073,-0.073,-0.073,0.017,0.017,0.017,-0.013,-0.013,-0.013,0.146,0.146,0.146,0.065,0.065,0.065
-0.118,-0.118,-0.118,-0.024,-0.024,-0.024,0.099,0.099,0.099,0.011,0.011,0.011,-0.052,-0.052,-0.052,0.009,0.009,0.009,-0.160,-0.160,-0.160
-0.058,-0.058,-0.058,0.033,0.033,0.033,-0.008,-0.008,-0.008,0.035,0.035,0.035,-0.067,-0.067,-0.067,-0.038,-0.038,-0.038,0.064,0.064,0.064
0.043,0.043,0.043,-0.018,-0.018,-0.018,0.016,0.016,0.016,0.019,0.019,0.019,0.013,0.013,0.013,-0.039,-0.039,-0.039,0.021,0.021,0.021
0.029,0.029,0.029,-0.037,-0.037,-0.037,0.021,0.021,0.021,-0.097,-0.097,-0.097,-0.125,-0.125,-0.125,-0.029,-0.029,-0.029,-0.021,-0.021,-0.021
-0.030,-0.030,-0.030,-0.027,-0.027,-0.027,0.053,0.053,0.053,0.006,0.006,0.006,0.012,0.012,0.012,0.019,0.019,0.019,-0.047,-0.047,-0.047
-0.088,-0.088,-0.088,-0.125,-0.125,-0.125,0.136,0.136,0.136,0.040,0.040,0.040,0.058,0.058,0.058,-0.082,-0.082,-0.082,-0.128,-0.128,-0.128
0.022,0.022,0.022,0.030,0.030,0.030,-0.012,-0.012,-0.012,0.006,0.006,0.006,0.090,0.090,0.090,-0.028,-0.028,-0.028,-0.002,-0.002,-0.002
0.105,0.105,0.105,0.028,0.028,0.028,0.102,0.102,0.102,0.005,0.005,0.005,0.015,0.015,0.015,0.063,0.063,0.063,-0.005,-0.005,-0.005
0.039,0.039,0.039,0.118,0.118,0.118,0.042,0.042,0.042,-0.049,-0.049,-0.049,-0.104,-0.104,-0.104,0.030,0.030,0.030,-0.041,-0.041,-0.041
0.057,0.057,0.057,-0.050,-0.050,-0.050,0.208,0.208,0.208,-0.114,-0.114,-0.114,-0.030,-0.030,-0.030,-0.075,-0.075,-0.075,0.080,0.080,0.080
-0.153,-0.153,-0.153,-0.083,-0.083,-0.083,-0.034,-0.034,-0.034,-0.057,-0.057,-0.057,0.013,0.013,0.013,-0.073,-0.073,-0.073,0.086,0.086,0.086
0.002,0.002,0.002,-0.028,-0.028,-0.028,0.029,0.029,0.029,0.072,0.072,0.072,-0.025,-0.025,-0.025,0.033,0.033,0.033,0.035,0.035,0.035
0.023,0.023,0.023,-0.144,-0.144,-0.144,-0.015,-0.015,-0.015,-0.024,-0.024,-0.024,0.060,0.060,0.060,0.026,0.026,0.026,-0.044,-0.044,-0.044
0.027,0.027,0.027,0.061,0.061,0.061,-0.053,-0.053,-0.053,0.031,0.031,0.031,0.034,0.034,0.034,-0.040,-0.040,-0.040,0.080,0.080,0.080
