通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
43.33,57.37,48.47,53.00,56.24,58.82,48.22,48.12
26.63,34.04,39.95,36.49,34.76,47.35,44.70,30.40
28.71,51.71,55.97,60.28,59.97,51.60,50.69,48.26
17.36,21.68,32.96,24.42,22.89,26.72,33.48,26.34
36.06,40.56,52.34,52.09,48.31,49.57,46.81,42.83
14.37,24.95,26.13,32.03,22.38,28.37,26.22,23.52
24.61,21.29,32.47,24.55,32.25,31.14,23.23,29.31
12.45,17.22,18.26,13.89,20.61,20.72,12.15,14.38
25.10,41.35,39.57,40.24,44.05,36.68,37.74,37.01
9.66,22.36,29.35,32.48,25.33,27.43,31.42,22.73
44.40,53.27,52.85,57.39,56.54,59.74,62.48,49.54
2.80,20.26,32.86,29.77,29.00,26.77,26.57,21.26
34.72,38.82,32.09,27.16,37.16,30.39,23.71,28.61
43.20,46.39,49.66,47.76,39.66,49.31,44.14,36.53
35.14,44.67,51.26,52.09,50.40,47.43,48.94,46.19
34.94,45.94,51.81,40.34,53.58,51.31,53.85,45.41
59.79,71.81,66.43,73.52,53.20,69.20,50.02,62.96
35.75,49.37,53.39,51.19,40.58,45.78,42.58,36.36
39.64,40.96,50.21,47.43,46.96,43.49,33.11,42.79
31.49,46.01,50.88,47.54,48.99,51.33,47.51,47.76
18.82,27.23,26.50,34.47,27.15,27.47,28.76,20.00
8.63,24.03,27.13,23.30,30.22,34.61,33.67,17.67
42.62,53.93,57.45,66.68,66.45,54.88,50.56,60.35
26.26,39.83,43.46,41.40,47.95,45.55,48.95,38.47
55.85,57.16,60.40,65.45,68.43,68.59,64.01,64.67
48.54,51.83,52.96,51.65,44.92,50.83,55.98,49.44
28.09,29.02,40.17,36.33,42.65,36.41,34.79,34.03
42.78,58.64,60.85,59.49,57.94,60.28,54.27,49.18
34.90,48.20,47.81,44.65,36.72,52.24,45.21,48.76
7.10,22.82,25.68,26.34,23.45,19.21,19.20,25.75
55.86,47.88,51.92,48.83,49.08,28.55,32.95,47.82
69.63,47.57,53.14,60.55,53.92,48.63,54.85,50.89
21.29,30.97,41.42,41.12,50.12,41.05,38.73,47.87
34.42,50.60,47.98,57.85,52.21,45.58,48.88,36.31
27.25,35.70,43.39,34.20,33.36,35.77,33.70,33.38
38.80,42.05,38.40,46.90,39.94,48.89,32.02,40.40
