Freq0,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Freq17,Freq18,Freq19,Freq20
-0.277,-0.277,-0.277,-0.277,-0.277,-0.294,-0.294,-0.294,-0.294,-0.294,-0.294,-0.294,-0.294,-0.294,-0.294,-0.294,-0.128,-0.128,-0.128,-0.128,-0.128
-0.330,-0.330,-0.330,-0.330,-0.330,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.727,-0.727,-0.727,-0.727,-0.727
-0.229,-0.229,-0.229,-0.229,-0.229,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079,-0.082,-0.082,-0.082,-0.082,-0.082
-0.274,-0.274,-0.274,-0.274,-0.274,-0.174,-0.174,-0.174,-0.174,-0.174,-0.174,-0.174,-0.174,-0.174,-0.174,-0.174,-0.319,-0.319,-0.319,-0.319,-0.319
-0.186,-0.186,-0.186,-0.186,-0.186,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.428,-0.428,-0.428,-0.428,-0.428
-0.200,-0.200,-0.200,-0.200,-0.200,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,-0.133,-0.133,-0.133,-0.133,-0.133
-0.145,-0.145,-0.145,-0.145,-0.145,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.119,-0.247,-0.247,-0.247,-0.247,-0.247
-0.003,-0.003,-0.003,-0.003,-0.003,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.010,-0.010,-0.010,-0.010,-0.010
0.040,0.040,0.040,0.040,0.040,-0.158,-0.158,-0.158,-0.158,-0.158,-0.158,-0.158,-0.158,-0.158,-0.158,-0.158,0.077,0.077,0.077,0.077,0.077
-0.044,-0.044,-0.044,-0.044,-0.044,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,-0.037,-0.037,-0.037,-0.037,-0.037
-0.423,-0.423,-0.423,-0.423,-0.423,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.078,-0.078,-0.078,-0.078,-0.078
0.064,0.064,0.064,0.064,0.064,-0.130,-0.130,-0.130,-0.130,-0.130,-0.130,-0.130,-0.130,-0.130,-0.130,-0.130,0.117,0.117,0.117,0.117,0.117
-0.007,-0.007,-0.007,-0.007,-0.007,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,-0.108,-0.108,-0.108,-0.108,-0.108
-0.073,-0.073,-0.073,-0.073,-0.073,-0.077,-0.077,-0.077,-0.077,-0.077,-0.077,-0.077,-0.077,-0.077,-0.077,-0.077,-0.015,-0.015,-0.015,-0.015,-0.015
-0.068,-0.068,-0.068,-0.068,-0.068,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,0.120,0.120,0.120,0.120,0.120
-0.181,-0.181,-0.181,-0.181,-0.181,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.114,-0.114,-0.114,-0.114,-0.114
-0.176,-0.176,-0.176,-0.176,-0.176,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,0.022,0.022,0.022,0.022,0.022
-0.198,-0.198,-0.198,-0.198,-0.198,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.081,0.081,0.081,0.081,0.081
-0.100,-0.100,-0.100,-0.100,-0.100,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,-0.028,-0.028,-0.028,-0.028,-0.028
-0.148,-0.148,-0.148,-0.148,-0.148,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.076,0.076,0.076,0.076,0.076
-0.089,-0.089,-0.089,-0.089,-0.089,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.198,0.198,0.198,0.198,0.198
-0.029,-0.029,-0.029,-0.029,-0.029,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,-0.150,-0.150,-0.150,-0.150,-0.150
0.170,0.170,0.170,0.170,0.170,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254,0.035,0.035,0.035,0.035,0.035
0.044,0.044,0.044,0.044,0.044,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.272,0.272,0.272,0.272,0.272
0.178,0.178,0.178,0.178,0.178,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,-0.096,-0.096,-0.096,-0.096,-0.096
-0.050,-0.050,-0.050,-0.050,-0.050,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.046,0.046,0.046,0.046,0.046
0.099,0.099,0.099,0.099,0.099,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.167,0.167,0.167,0.167,0.167
0.170,0.170,0.170,0.170,0.170,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.145,0.145,0.145,0.145,0.145
0.136,0.136,0.136,0.136,0.136,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.160,0.074,0.074,0.074,0.074,0.074
0.110,0.110,0.110,0.110,0.110,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.303,0.303,0.303,0.303,0.303
0.187,0.187,0.187,0.187,0.187,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.160,0.160,0.160,0.160,0.160
-0.095,-0.095,-0.095,-0.095,-0.095,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.171,0.171,0.171,0.171,0.171
0.239,0.239,0.239,0.239,0.239,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,-0.129,-0.129,-0.129,-0.129,-0.129
0.105,0.105,0.105,0.105,0.105,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.060,0.060,0.060,0.060,0.060
0.051,0.051,0.051,0.051,0.051,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.005,0.005,0.005,0.005,0.005
-0.204,-0.204,-0.204,-0.204,-0.204,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.197,0.197,0.197,0.197,0.197
0.259,0.259,0.259,0.259,0.259,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,-0.325,-0.325,-0.325,-0.325,-0.325
0.127,0.127,0.127,0.127,0.127,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.010,0.010,0.010,0.010,0.010
0.248,0.248,0.248,0.248,0.248,-0.212,-0.212,-0.212,-0.212,-0.212,-0.212,-0.212,-0.212,-0.212,-0.212,-0.212,0.188,0.188,0.188,0.188,0.188
0.265,0.265,0.265,0.265,0.265,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.066,0.066,0.066,0.066,0.066
0.429,0.429,0.429,0.429,0.429,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.222,0.222,0.222,0.222,0.222
0.103,0.103,0.103,0.103,0.103,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,0.220,0.220,0.220,0.220,0.220
0.214,0.214,0.214,0.214,0.214,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,0.029,0.029,0.029,0.029,0.029
0.088,0.088,0.088,0.088,0.088,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,-0.043,-0.043,-0.043,-0.043,-0.043
0.174,0.174,0.174,0.174,0.174,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,0.198,0.198,0.198,0.198,0.198
0.129,0.129,0.129,0.129,0.129,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,0.016,0.016,0.016,0.016,0.016
0.033,0.033,0.033,0.033,0.033,-0.362,-0.362,-0.362,-0.362,-0.362,-0.362,-0.362,-0.362,-0.362,-0.362,-0.362,-0.058,-0.058,-0.058,-0.058,-0.058
0.187,0.187,0.187,0.187,0.187,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.106,0.106,0.106,0.106,0.106
0.043,0.043,0.043,0.043,0.043,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,-0.050,-0.050,-0.050,-0.050,-0.050
-0.015,-0.015,-0.015,-0.015,-0.015,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,0.003,0.003,0.003,0.003,0.003
0.019,0.019,0.019,0.019,0.019,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,0.007,0.007,0.007,0.007,0.007
-0.146,-0.146,-0.146,-0.146,-0.146,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.191,-0.191,-0.191,-0.191,-0.191
-0.079,-0.079,-0.079,-0.079,-0.079,-0.301,-0.301,-0.301,-0.301,-0.301,-0.301,-0.301,-0.301,-0.301,-0.301,-0.301,-0.129,-0.129,-0.129,-0.129,-0.129
-0.141,-0.141,-0.141,-0.141,-0.141,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.050,0.050,0.050,0.050,0.050
