通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
-0.03,0.08,-0.60,-0.30,-1.04,-0.43,-0.40,0.13
-0.23,0.00,-5.85,-0.57,-0.44,-0.28,0.03,0.86
0.41,1.20,0.04,0.01,-0.69,0.31,0.68,0.01
-0.23,-0.01,-0.12,-0.25,-0.38,-0.28,0.08,1.14
0.35,0.86,-0.64,-0.16,-0.05,0.07,-0.08,0.97
-0.28,0.68,-0.32,-0.46,-0.59,0.48,1.23,-0.24
-0.36,0.10,-0.46,-0.50,-0.47,0.44,1.38,0.62
0.02,0.13,-0.63,-0.27,-0.38,-0.55,0.65,0.68
-0.48,0.74,-0.06,-0.21,-0.45,0.39,1.20,-0.38
0.54,0.79,0.35,0.19,0.20,0.28,0.59,0.59
0.90,1.06,-0.59,-0.49,-0.59,-0.29,0.18,1.11
0.22,1.19,0.29,-0.52,-0.52,-0.30,0.63,0.90
-0.65,0.53,0.30,-0.10,-0.08,0.42,0.68,0.72
-0.11,0.56,0.12,-0.23,0.52,0.00,0.66,0.68
0.00,1.50,-0.04,-0.05,-0.62,0.46,0.79,-0.01
-0.20,1.00,-0.23,-0.12,-0.02,0.24,0.57,1.05
0.10,0.60,0.23,-0.47,-0.61,0.55,0.96,0.58
0.25,0.29,-0.89,-0.41,-0.19,0.56,0.78,0.21
0.06,0.60,-0.42,-1.00,-0.29,0.51,1.00,-0.17
0.27,1.17,-0.56,0.10,0.13,0.97,0.99,0.21
0.54,1.11,0.06,0.12,-0.24,0.14,0.76,0.51
0.87,1.49,0.39,0.13,0.10,0.43,0.24,1.05
0.50,1.14,-0.10,0.28,-0.30,-0.27,0.30,0.98
1.03,1.05,0.30,0.04,-0.13,0.56,0.79,0.68
-0.18,0.65,0.18,0.39,0.01,-0.47,0.49,0.89
0.17,0.09,0.03,-0.03,-0.23,0.38,1.39,0.30
0.61,1.22,0.44,0.02,-0.58,0.37,1.05,0.72
0.48,0.54,0.06,-0.14,0.23,0.10,0.91,0.02
0.82,0.87,-0.16,-0.29,0.08,0.82,1.32,-0.39
0.69,0.73,0.10,-0.32,-0.05,0.06,0.85,-0.01
0.11,0.54,0.46,0.20,0.23,0.36,0.68,0.27
0.97,0.50,-0.32,0.33,0.09,0.26,1.23,0.34
0.94,0.93,0.61,-0.01,-0.07,0.51,0.99,0.21
1.10,0.43,0.38,-0.40,-0.26,0.42,1.01,-0.13
0.31,0.79,0.19,0.33,-0.37,-0.10,0.27,0.65
1.02,0.52,0.23,-0.06,0.36,0.65,0.98,0.67
