通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
359.55,352.51,344.81,0.48,352.93,0.90,352.67,346.65
340.24,3.45,352.33,6.76,2.63,16.43,19.31,16.54
341.40,359.96,358.47,3.55,6.35,354.06,0.64,1.81
344.73,0.49,15.23,14.02,14.43,2.73,10.16,13.95
4.58,6.72,9.20,19.96,23.34,15.61,14.13,19.29
359.11,9.60,3.47,12.47,357.74,13.49,9.71,11.38
359.57,352.17,0.28,1.93,9.38,5.33,357.59,10.58
8.23,12.54,4.38,11.52,15.35,17.64,4.78,2.49
13.10,357.53,16.75,10.57,18.49,7.09,18.91,18.29
1.30,7.33,14.74,21.51,9.39,4.33,18.76,3.31
1.60,357.81,0.85,7.03,4.21,9.71,9.65,10.53
356.62,355.00,7.18,355.20,357.26,5.99,14.00,358.73
5.23,6.08,9.69,1.40,4.34,1.76,2.44,3.25
20.39,6.33,18.13,12.22,12.72,15.75,6.36,6.68
354.58,359.33,354.79,356.52,359.58,352.65,356.96,1.28
342.13,353.54,357.60,354.84,357.35,358.81,359.89,357.20
3.69,15.91,18.18,19.63,14.22,13.81,5.50,10.52
354.96,8.20,4.14,358.52,2.48,358.80,350.93,5.52
4.81,358.06,9.23,9.57,10.44,10.08,357.16,9.75
357.86,7.73,7.20,356.85,358.45,3.03,2.39,4.97
32.77,27.97,14.52,32.52,32.79,26.65,28.11,25.81
20.74,23.70,16.14,28.48,25.59,30.06,27.47,20.07
7.55,10.50,21.19,14.33,15.38,18.07,10.17,13.18
359.63,3.22,5.84,4.69,359.88,12.36,7.80,1.24
3.07,1.30,1.16,7.41,10.84,2.52,11.60,4.46
8.65,5.39,13.62,9.84,15.21,4.17,17.76,2.46
6.36,10.09,17.96,9.40,18.00,13.43,7.84,11.07
13.82,26.65,26.50,35.97,27.24,31.12,20.28,9.39
16.23,31.19,23.69,18.53,6.65,31.98,22.96,24.57
32.69,26.46,31.49,37.13,15.59,22.80,28.93,35.29
13.10,13.56,20.47,20.60,15.04,9.00,14.89,16.60
5.43,6.87,6.69,16.12,8.45,13.61,22.58,354.78
356.65,0.72,11.49,13.92,8.45,9.26,12.43,14.89
359.49,6.14,358.65,10.45,4.95,3.01,4.77,1.74
354.10,6.60,3.86,15.59,359.19,357.07,2.53,6.96
358.57,348.49,355.94,0.55,1.90,2.52,344.10,347.67
